mal_id,title,type,episodes,score,popularity,rank,status,genre
308,Zettai Shounen,TV,26.0,6.86,5096,5152.0,Finished Airing,Drama
309,Akahori Gedou Hour Rabuge,TV,13.0,6.09,8030,9664.0,Finished Airing,Comedy
310,"Chiisana Obake: Acchi, Kocchi, Socchi",TV,50.0,6.1,11816,9609.0,Finished Airing,Comedy
311,Ace wo Nerae!,TV,26.0,7.09,5805,4079.0,Finished Airing,Drama
312,Ace wo Nerae! Final Stage,OVA,12.0,6.85,10483,5188.0,Finished Airing,Drama
313,Ace wo Nerae! (1979),Movie,1.0,6.91,8914,4919.0,Finished Airing,Drama
314,Ace wo Nerae! 2,OVA,13.0,7.18,9658,3581.0,Finished Airing,Drama
315,Xiao Qian,Movie,1.0,6.39,10368,7972.0,Finished Airing,Action
316,Nageki no Kenkou Yuuryouji,OVA,3.0,6.19,8307,,Finished Airing,Comedy
317,Final Fantasy VII: Advent Children,Movie,1.0,7.71,1232,1303.0,Finished Airing,Action
318,Hand Maid May,TV,10.0,6.68,4314,6182.0,Finished Airing,Comedy
319,Happy World!,OVA,3.0,5.97,8230,10329.0,Finished Airing,Comedy
320,A Kite,OVA,2.0,6.53,2650,,Finished Airing,Action
321,Najica Dengeki Sakusen,TV,12.0,5.96,5696,10378.0,Finished Airing,Action
322,Paradise Kiss,TV,12.0,7.87,1071,917.0,Finished Airing,Drama
323,Mousou Dairinin,TV,13.0,7.66,549,1445.0,Finished Airing,Avant Garde
324,Kidou Keisatsu Patlabor: On Television,TV,47.0,7.69,3692,1357.0,Finished Airing,Action
325,Peach Girl,TV,25.0,6.92,2148,4881.0,Finished Airing,Drama
326,Petshop of Horrors,TV,4.0,7.24,2768,3229.0,Finished Airing,Horror
327,Puchi Pri*Yucie,TV,26.0,7.39,5671,2480.0,Finished Airing,Comedy
328,Piano,TV,10.0,5.98,7044,10268.0,Finished Airing,Drama
329,Planetes,TV,26.0,8.24,988,366.0,Finished Airing,Award Winning
330,Midori no Hibi,TV,13.0,7.21,1479,3388.0,Finished Airing,Comedy
